DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2012,90,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2013,55,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2014,80,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2015,50,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2016,185,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2017,530,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2018,925,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2019,665,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2020,640,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2021,865,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FI,2022,385,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2011,4930,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2012,4290,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2013,4270,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2014,4245,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2015,3830,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2016,4510,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2017,5400,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2018,6015,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2019,9335,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2020,6115,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2021,10015,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,FR,2022,10515,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2012,20,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2013,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2014,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2015,0,
